ID,Name,Stars,Forks,Size,"Programming Language","Default Branch",Topics,"Open Issues",License,"Repo URL",Owner,Website,"Created At","Updated At"
298809259,ChartsCSS/charts.css,6294,177,4147,HTML,main,"chart, charts, css, css-framework, data-visualization, html, scss, ui-components, visualization",27,"MIT License",https://github.com/ChartsCSS/charts.css,https://github.com/ChartsCSS,https://ChartsCSS.org,2020-09-26T12:27:00Z,2025-02-23T21:56:59Z
263452252,microsoft/fluentui-system-icons,6260,551,515359,HTML,main,"android, design, fluent, flutter, icons, ios, react",176,"MIT License",https://github.com/microsoft/fluentui-system-icons,https://github.com/microsoft,https://aka.ms/fluentui-system-icons,2020-05-12T21:05:57Z,2025-02-25T01:26:43Z
14173176,EsotericSoftware/kryo,6250,831,15434,HTML,master,"cloning, java, kryo, serialization",30,"BSD 3-Clause ""New"" or ""Revised"" License",https://github.com/EsotericSoftware/kryo,https://github.com/EsotericSoftware,,2013-11-06T13:24:03Z,2025-02-24T13:42:10Z
166535378,hjacobs/kubernetes-failure-stories,6227,308,80,HTML,master,"failures, incidents, kubernetes, post-mortem, postmortem, production-engineering, reliability, sre",0,,https://github.com/hjacobs/kubernetes-failure-stories,https://github.com/hjacobs,https://k8s.af,2019-01-19T10:42:05Z,2025-02-16T17:06:33Z
33361723,rse/es6-features,6207,1127,12791,HTML,gh-pages,,34,Other,https://github.com/rse/es6-features,https://github.com/rse," https://rse.github.io/es6-features/",2015-04-03T12:11:33Z,2025-02-06T00:33:14Z
51051380,golang-china/gopl-zh,6129,678,8684,HTML,master,,21,,https://github.com/golang-china/gopl-zh,https://github.com/golang-china,https://golang-china.github.io/gopl-zh,2016-02-04T04:11:23Z,2025-02-25T01:12:29Z
471780567,codewithsadee/vcard-personal-portfolio,6037,2583,2323,HTML,master,"css, css3, html, personal-website, portfolio, portfolio-website",68,"MIT License",https://github.com/codewithsadee/vcard-personal-portfolio,https://github.com/codewithsadee,https://codewithsadee.github.io/vcard-personal-portfolio/,2022-03-19T18:30:00Z,2025-02-25T01:29:22Z
229293658,creativetimofficial/david-ai,5842,911,33830,HTML,main,"ai, ai-framework, angular-landing-page, dashboard, dynamic-components, kits, tailwind-admin, tailwind-css, tailwind-css-template, tailwind-starter-kit, tailwindcss, tailwindcss-extension, tailwindcss-starter-kit, tailwindcss-starter-project",2,"MIT License",https://github.com/creativetimofficial/david-ai,https://github.com/creativetimofficial,https://www.creative-tim.com/david-ui,2019-12-20T15:56:31Z,2025-02-24T18:06:28Z
87167201,go101/go101,5779,432,10546,HTML,master,"book, details, faq, go, golang, optimizations, semantics, syntax, tips",10,Other,https://github.com/go101/go101,https://github.com/go101,https://go101.org,2017-04-04T09:09:48Z,2025-02-24T18:18:53Z
237596051,teivah/algodeck,5707,570,14344,HTML,master,"algorithm, algorithms, array, bit-manipulation, complexity, data-structures, dynamic-programming, graph, greedy-algorithms, hashtable, heap, interview-practice, java, linked-list, math, queue, recursion, sorting-algorithms, stack, tree",0,Other,https://github.com/teivah/algodeck,https://github.com/teivah,https://deckly.dev/,2020-02-01T10:10:04Z,2025-02-22T05:40:45Z
324453237,filipedeschamps/tabnews.com.br,5583,411,25105,HTML,main,,103,Other,https://github.com/filipedeschamps/tabnews.com.br,https://github.com/filipedeschamps,https://tabnews.com.br,2020-12-26T00:12:42Z,2025-02-24T21:35:01Z
96151448,tc39/proposal-pattern-matching,5581,90,2019,HTML,main,,24,"MIT License",https://github.com/tc39/proposal-pattern-matching,https://github.com/tc39,https://tc39.es/proposal-pattern-matching/,2017-07-03T21:21:23Z,2025-02-25T01:31:47Z
119463163,LingDong-/shan-shui-inf,5553,446,22943,HTML,master,"art, chinese, landscape, painting, perlin-noise, procedural-generation, scrollable",10,"MIT License",https://github.com/LingDong-/shan-shui-inf,https://github.com/LingDong-,,2018-01-30T01:09:12Z,2025-02-23T05:34:18Z
715884951,wdndev/llm_interview_note,5541,642,139535,HTML,main,"interview, llm, llm-interview, llms",10,,https://github.com/wdndev/llm_interview_note,https://github.com/wdndev,https://wdndev.github.io/llm_interview_note,2023-11-08T02:52:13Z,2025-02-24T23:09:14Z
43209178,una/CSSgram,5393,398,60645,HTML,master,,55,"MIT License",https://github.com/una/CSSgram,https://github.com/una,http://una.github.io/CSSgram/,2015-09-26T14:50:01Z,2025-02-21T13:29:33Z
492526669,htmlstreamofficial/preline,5229,336,1969,HTML,main,"css, html, javascript, tailwindcss, tailwindcss-plugin, typescript, ui-components",31,Other,https://github.com/htmlstreamofficial/preline,https://github.com/htmlstreamofficial,https://preline.co,2022-05-15T15:29:39Z,2025-02-25T00:27:05Z
3618133,web-platform-tests/wpt,5195,3216,1641237,HTML,master,"blink, browser, dom, firefox, gecko, google-chrome, html, javascript, microsoft-edge, opera, safari, test-automation, test-runner, testing, w3c, web-development, web-standards, webkit, whatwg",2418,Other,https://github.com/web-platform-tests/wpt,https://github.com/web-platform-tests,https://web-platform-tests.org/,2012-03-04T12:58:11Z,2025-02-25T01:46:24Z
3601534,umpirsky/country-list,5194,1547,57207,HTML,master,,12,"MIT License",https://github.com/umpirsky/country-list,https://github.com/umpirsky,,2012-03-02T11:23:47Z,2025-02-24T05:41:35Z
11850014,google/gumbo-parser,5174,662,3948,HTML,master,,23,"Apache License 2.0",https://github.com/google/gumbo-parser,https://github.com/google,,2013-08-02T18:33:38Z,2025-02-25T00:58:30Z
14543561,emailmonday/Cerberus,5041,707,3009,HTML,main,"cerberus, email, email-boilerplate, email-template, html-email, hybrid-email, newsletter, responsive-email",12,"MIT License",https://github.com/emailmonday/Cerberus,https://github.com/emailmonday,https://www.cerberusemail.com/,2013-11-20T01:44:00Z,2025-02-24T12:11:55Z
83266972,vasturiano/3d-force-graph,5012,854,2595,HTML,master,"3d, 3d-force-graph, d3js, data-visualization, force-directed-graphs, threejs, webgl",242,"MIT License",https://github.com/vasturiano/3d-force-graph,https://github.com/vasturiano,https://vasturiano.github.io/3d-force-graph/example/large-graph/,2017-02-27T04:09:20Z,2025-02-24T22:36:14Z
45123943,tholman/github-corners,4960,194,49,HTML,master,"fork-me, github, interactive, svg",13,"MIT License",https://github.com/tholman/github-corners,https://github.com/tholman,http://tholman.com/github-corners,2015-10-28T15:53:36Z,2025-02-21T15:33:35Z
66874942,rapid7/metasploitable3,4902,1168,254131,HTML,master,,68,Other,https://github.com/rapid7/metasploitable3,https://github.com/rapid7,,2016-08-29T19:41:22Z,2025-02-23T21:51:38Z
74494679,jgthms/css-reference,4890,335,2193,HTML,master,"css, jekyll-site, reference",37,"MIT License",https://github.com/jgthms/css-reference,https://github.com/jgthms,https://cssreference.io,2016-11-22T17:00:30Z,2025-02-24T13:25:23Z
114885555,PaddlePaddle/VisualDL,4814,629,190465,HTML,develop,"caffe, deep-learning, onnx, paddlepaddle, visualization",156,"Apache License 2.0",https://github.com/PaddlePaddle/VisualDL,https://github.com/PaddlePaddle,https://www.paddlepaddle.org.cn/paddle/visualdl,2017-12-20T12:34:31Z,2025-02-24T09:20:50Z
1035184,shower/shower,4813,857,27807,HTML,main,,41,Other,https://github.com/shower/shower,https://github.com/shower,https://shwr.me,2010-10-29T15:29:47Z,2025-02-17T11:07:31Z
16246448,zhangkaitao/shiro-example,4811,3930,2302,HTML,master,shiro,36,,https://github.com/zhangkaitao/shiro-example,https://github.com/zhangkaitao,,2014-01-26T04:19:18Z,2025-02-22T06:20:37Z
