"Function Name",Count
get_user_setting,44
dynamic_sidebar,44
wp_get_attachment_image,44
get_metadata,44
on,44
apply_filters_deprecated,44
get_theme_file_uri,44
viewSize,44
printFooter,44
mysql_smarterror,44
exec_all,44
"Sabre\Uri\split",44
instanceSettings,44
rescue,43
wp_update_attachment_metadata,43
wp_schedule_single_event,43
wp_clear_scheduled_hook,43
size_format,43
wp_attachment_is_image,43
get_default_feed,43
has_post_thumbnail,43
wc_create_new_customer,43
wc_get_theme_support,43
trigger,43
nocache_headers,42
wp_get_themes,42
wp_trash_post,42
disabled,42
is_sticky,42
xfn_check,42
the_excerpt,42
wp_scripts,42
wp_style_add_data,42
add,42
yourls_s,42
wc_get_order_statuses,42
wc_strtoupper,42
dvwaMessagePush,42
table_status,42
displaysecinfo,42
read_file,42
get_blogs_of_user,41
term_exists,41
get_role,41
wp_array_slice_assoc,41
the_author_meta,41
maybe_serialize,41
mysql_get_server_info,41
yourls_did_action,41
wc_attribute_taxonomy_name,41
wc_format_localized_price,41
wp_get_wp_version,41
printHeader,41
run_cmd,41
msortv,41
datagrid,41
wp_schedule_event,40
get_admin_url,40
get_the_time,40
clean_post_cache,40
wp_cache_flush,40
is_post_type_archive,40
old,40
yourls_add_action,40
is_php,40
wc_round_tax_total,40
enum_value,40
sub,40
html,40
customApiValidator,40
phutil_describe_type,40
sanitize_email,39
wp_attachment_is,39
is_post_type_hierarchical,39
get_the_category_list,39
rs,39
ssc,39
check_access,39
invalidateHttpCache,39
inline_service,39
sanitize_user,38
translate,38
wp_nav_menu,38
get_query_template,38
s,38
cd,38
mssql_select_db,38
wc_get_product_stock_status_options,38
has_block,38
remove_from_uri,38
buildUrl,38
convert_cyr_string,38
sizecount,38
wp_get_nav_menu_object,37
get_comments,37
wp_remote_post,37
wp_check_filetype,37
the_post_thumbnail,37
yourls_get_option,37
wc_get_attribute_taxonomies,37
wc_get_price_excluding_tax,37
register_block_pattern_category,37
get_site,37
strdir,37
isCloud,37
get_route_parameters,37
serializeApiResponse,37
idxv,37
wp_using_ext_object_cache,36
network_site_url,36
get_post_status_object,36
get_header_image,36
get_queried_object_id,36
wp_get_admin_notice,36
wp_should_skip_block_supports_serialization,36
optionlist,36
js_escape,36
bracket_escape,36
nbsp,36
get_key_vals,36
apply_queries,36
bruteForce,36
execmd,36
mydbconn,36
is_win,36
form_option,35
get_attachment_link,35
wp_send_json,35
debug,35
parse,35
get_woocommerce_currency_symbol,35
c99_sess_put,35
my_func,35
last_key,35
phutil_format_bytes,35
network_home_url,34
